time,baseline,rv,model_time,model,residuals
2459113.834178,-1.5798749003260957,-9.3999,2459113.834178,-7.800481742095709,-0.019543357578195142
2459115.946682,-1.5798749003260957,6.6272,2459114.5830800054,-6.09106794556246,-0.5547411000817268
2459117.79187,-1.5798749003260957,-10.6036,2459115.33198201,4.131293070135862,-0.3327006855823207
2459126.791904,-1.5798749003260957,5.8671,2459116.080884015,8.613046696353079,0.19196785752397627
2459127.793411,-1.5798749003260957,2.7399,2459116.8297860203,1.030017712477936,0.3331234325867527
2459128.777122,-1.5798749003260957,-9.5965,2459117.5786880255,-7.925254077498143,0.049913273536743574
2459130.854558,-1.5798749003260957,6.9947,2459118.32759003,-5.8797528878085,-0.1914542290081025
2459131.876366,-1.5798749003260957,-3.0743,2459119.0764920353,4.388053953477181,-0.354609531640798
2459132.790768,-1.5798749003260957,-10.5483,2459119.8253940404,8.553035500919826,-0.2971084225973879
2459133.785629,-1.5798749003260957,-0.0577,2459120.574296045,0.7395746720499724,-0.2519516124017226
2459861.726508,-1.5798749003260957,0.0013,2459121.3231980503,-8.041251366098312,-0.06692895822898412
2459861.7427,-1.5798749003260957,0.0089,2459122.0721000554,-5.661837516877896,0.17573378618256372
2459861.762933,-1.5798749003260957,-0.5113,2459122.82100206,4.639939095211474,-0.04936840212308169
2459861.779137,-1.5798749003260957,-0.6911,2459123.569904065,8.483395243232826,0.00804982023099865
2459861.795463,-1.5798749003260957,-0.9337,2459124.3188060704,0.44840117679136204,0.005054160838220745
2459861.812957,-1.5798749003260957,-1.0905,2459125.0677080755,-8.148347452063586,0.10546324199294288
2459861.829619,-1.5798749003260957,-1.5042,2459125.81661008,-5.4375593258784605,-0.06301484087265341
2459861.845788,-1.5798749003260957,-1.6482,2459126.5655120853,4.886660819682086,0.03099462698850619
2459861.862097,-1.5798749003260957,-1.9715,2459127.3144140905,8.404208063720835,-0.05237274678294601
2459861.873585,-1.5798749003260957,-1.9906,2459128.063316095,0.156821724057589,0.09735456118251817
2459861.885935,-1.5798749003260957,-2.1634,2459128.8122181003,-8.246425759218035,0.10580167168592203
2459861.902498,-1.5798749003260957,-2.0397,2459129.5611201054,-5.207163054117687,0.47204107054359046
2459861.919124,-1.5798749003260957,-2.3274,2459130.31002211,5.1279371031429495,0.4270110477619502
2459861.937267,-1.5798749003260957,-2.7874,2459131.0589241153,8.315567081219413,0.2306955213529731
2459861.953807,-1.5798749003260957,-3.015,2459131.8078261204,-0.1348391916661856,0.24225657424502112
2459861.97048,-1.5798749003260957,-3.1484,2459132.5567281255,-8.335379414898181,0.34856454068713827
