#time, RV, RV_err
2459113.834178    ,   -9.3999   ,   0.1876  
2459115.946682   ,     6.6272    ,  0.0867   
2459117.791870    ,  -10.6036    ,  0.116    
2459126.791904     ,   5.8671    ,  0.0821   
2459127.793411      ,  2.7399     , 0.0940   
2459128.777122      , -9.5965     , 0.1013   
2459130.854558      ,  6.9947   ,   0.1027   
2459131.876366      , -3.0743    ,  0.0758   
2459132.790768     , -10.5483    ,  0.0824   
2459133.785629     ,   -0.0577   ,  0.0767   
2459861.726508      ,  0.0013  ,    0.0661   
2459861.742700      ,   0.0089  ,   0.0735   
2459861.762933      ,  -0.5113   ,  0.0739  
2459861.779137      ,  -0.6911   ,  0.0621  
2459861.795463       , -0.9337   ,  0.0632 
2459861.812957      , -1.0905     , 0.0061  
2459861.829619     ,  -1.5042     , 0.0678   
2459861.845788     ,  -1.6482      ,0.0938   
2459861.862097     ,  -1.9715 ,     0.0834  
2459861.873585     ,  -1.9906  ,    0.1566  
2459861.885935     ,  -2.1634   ,   0.0812 
2459861.902498     ,  -2.0397    ,  0.1505  
2459861.919124     ,  -2.3274    ,  0.1111  
2459861.937267     ,  -2.7874   ,   0.1403  
2459861.953807     ,  -3.0150     , 0.093   
2459861.970480      , -3.1484     , 0.0984  
2459861.987281       ,-3.6589      ,0.1133  
