Name,Mj,Mj_err1,Mj_err2,Rj,Rj_err1,Rj_err2,P,e,e_err,Ms,Ms_err1,Ms_err2,Rs,Rs_err1,Rs_err2,Teff,T_err,FeH,FeH_err,Density_cgs,Density_err_upper_cgs,Density_err_lower_cgs
TOI-4603b,12.9,0.58,0.57,1.04,0.04,0.04,7.246,0.325,0.02,1.77,0.06,0.06,2.74,0.05,0.05,6264.0,95.0,0.34,0.04,14.220830207729604,1.761037391449379,1.757064928496068
HATS-70b,12.9,1.8,1.6,1.384,0.079,0.074,1.888,0.18,0.0,1.78,0.12,0.12,1.881,0.059,0.066,7930.0,820.0,0.041,0.107,6.034158291459719,1.3329081648792596,1.22351148058776
TOI-1278b,18.5,0.5,0.5,1.09,0.24,0.2,14.47567,0.013,0.004,0.54,0.02,0.02,0.57,0.01,0.01,3799.0,42.0,0.00,0.09,17.71444267555983,11.711073769697483,9.762815844019093
Kepler-39b,19.0,1.3,1.3,1.067,0.028,0.026,21.08701,0.066,0.036,1.201,0.071,0.087,1.26,0.03,0.029,6290.0,120.0,0.07,0.14,19.395259801296753,2.022984989296727,1.9419842835524315
GPX-1b,19.7,1.6,1.6,1.47,0.1,0.1,1.744579,0.0,0.0,1.68,0.1,0.1,1.56,0.1,0.1,7000.0,200.0,0.35,0.1,7.690409762730376,1.6891914728175172,1.6891914728175172
TOI-1994b,22.1,2.6,2.5,1.22,0.082,0.071,4.033714,0.341,0.059,1.86,0.18,0.17,2.3,0.13,0.12,7700.0,720.0,-0.01,0.42,15.092043224343445,3.523248904425188,3.1396655913639724
CoRoT-3b,22.32,0.84,1.0,1.08,0.051,0.046,4.25636,0.012,0.018,1.437,0.081,0.086,1.661,0.076,0.065,6710.0,140.0,-0.037,0.084,21.971422857867577,3.2205784140028,2.9750359195438736
TOI-5882b,24.36,0.85,1.7,0.833,0.06,0.059,7.148942,0.0347,0.0082,1.545,0.077,0.17,2.303,0.066,0.064,6000.0,190.0,0.378,0.084,52.26097868540031,11.439173461277553,11.68825091652967
KELT-1b,27.93,0.94,0.99,1.129,0.031,0.027,1.217523,0.0096,0.0067,1.39,0.065,0.069,1.486,0.035,0.032,6520.0,47.0,0.071,0.078,24.067133590768627,2.1415877796259877,1.9259321799262632
NLTT41135b,33.7,2.8,2.6,1.13,0.27,0.17,2.889,0.02,0.0,0.188,0.026,0.022,0.21,0.016,0.014,3230.0,130.0,-0.25,0.25,28.962085355356383,20.899427523257348,13.260991594742103
WASP-128b,39.26,0.88,1.0,0.957,0.017,0.016,2.208825,0.0041,0.0029,1.213,0.041,0.046,1.179,0.017,0.018,6081.0,78.0,0.117,0.093,55.54561001345964,3.211288299345308,3.124647418493979
CWW89Ab,39.21,0.91,1.1,0.941,0.019,0.019,5.2926,0.1891,0.0022,1.101,0.039,0.045,1.029,0.016,0.016,5755.0,49.0,0.203,0.091,58.35300566422566,3.785226136716453,3.8953517994132576
KOI-205b,39.7,2.1,1.8,0.87,0.022,0.024,11.72021,0.026,0.018,0.876,0.046,0.035,0.904,0.022,0.025,5238.0,87.0,0.15,0.14,74.75977878344924,6.914013382922682,7.054689191336646
TOI-1406b,46.0,2.6,2.7,0.858,0.028,0.027,10.574,0.0,0.0,1.184,0.081,0.089,1.348,0.032,0.031,6290.0,100.0,-0.079,0.088,90.30904024237928,10.209127550629459,10.0391795239871
TOI-5613b,46.3,1.3,1.5,0.979,0.036,0.032,12.78479,0.5313,0.0035,1.026,0.041,0.049,0.956,0.029,0.026,5607.0,79.0,0.31,0.1,61.18826998973813,6.965290445726134,6.319065067716123
TOI-3755b,47.3,1.9,2.2,0.876,0.05,0.045,5.543742,0.005,0.0031,1.042,0.063,0.073,1.04,0.041,0.039,5630.0,170.0,0.339,0.091,87.25374593396997,15.346308624398032,14.045711412204602
EPIC212036875b,52.3,1.9,1.9,0.874,0.017,0.017,5.1699,0.1323,0.0042,1.288,0.065,0.064,1.498,0.025,0.026,6238.0,59.0,0.007,0.096,97.14101783820544,6.6771925093323246,6.6771925093323246
TOI-503b,53.7,1.2,1.2,1.34,0.26,0.15,3.677086,0.0,0.0,1.803,0.061,0.06,1.704,0.049,0.044,7650.0,160.0,0.294,0.089,27.67547919395326,16.121473975088097,9.314557972616317
