age(Gyr),M/MSun,logL/Lsun,Teff(K),logg,R/Rsun
0.001,0.0005,-5.346,615.0,2.594,0.1868
0.001,0.001,-4.756,908.0,2.982,0.1689
0.001,0.0015,-4.387,1115.0,3.145,0.1715
0.001,0.002,-4.117,1280.0,3.24,0.1775
0.001,0.0025,-3.92,1409.0,3.307,0.1838
0.001,0.003,-3.753,1525.0,3.356,0.1904
0.001,0.0035,-3.614,1623.0,3.391,0.1973
0.001,0.004,-3.497,1704.0,3.418,0.2045
0.001,0.0045,-3.4,1773.0,3.441,0.2114
0.001,0.005,-3.312,1837.0,3.46,0.218
0.001,0.006,-3.155,1954.0,3.489,0.2308
0.001,0.007,-3.025,2051.0,3.511,0.2432
0.001,0.008,-2.917,2130.0,3.526,0.2555
0.001,0.009,-2.828,2191.0,3.537,0.2675
0.001,0.01,-2.751,2242.0,3.547,0.2789
0.001,0.011,-2.684,2286.0,3.555,0.2898
0.001,0.0115,-2.654,2305.0,3.558,0.2951
0.001,0.012,-2.625,2324.0,3.562,0.3002
0.001,0.0125,-2.597,2342.0,3.565,0.3052
0.001,0.013,-2.571,2358.0,3.568,0.3101
0.001,0.0135,-2.546,2374.0,3.572,0.3149
0.001,0.014,-2.522,2390.0,3.575,0.3196
0.001,0.0145,-2.5,2404.0,3.578,0.3241
0.002,0.0005,-5.671,532.0,2.667,0.1718
0.002,0.001,-5.092,777.0,3.047,0.1568
0.002,0.0015,-4.732,953.0,3.218,0.1577
0.002,0.002,-4.463,1102.0,3.325,0.161
0.002,0.0025,-4.254,1227.0,3.401,0.1649
0.002,0.003,-4.086,1335.0,3.458,0.1692
0.002,0.0035,-3.94,1432.0,3.501,0.1739
0.002,0.004,-3.815,1518.0,3.535,0.1788
0.002,0.0045,-3.706,1595.0,3.563,0.1837
0.002,0.005,-3.611,1662.0,3.586,0.1885
0.002,0.006,-3.455,1777.0,3.624,0.1975
0.002,0.007,-3.316,1885.0,3.655,0.2059
0.002,0.008,-3.196,1980.0,3.679,0.2143
0.002,0.009,-3.093,2061.0,3.697,0.2226
0.002,0.01,-3.005,2129.0,3.71,0.231
0.002,0.011,-2.93,2184.0,3.721,0.2392
0.002,0.0115,-2.896,2209.0,3.726,0.2432
0.002,0.012,-2.864,2232.0,3.731,0.2472
0.002,0.0125,-2.834,2253.0,3.735,0.2511
0.002,0.013,-2.805,2274.0,3.739,0.2549
0.002,0.0135,-2.777,2293.0,3.742,0.2587
0.002,0.014,-2.751,2312.0,3.746,0.2624
0.002,0.0145,-2.726,2329.0,3.749,0.266
0.002,0.015,-2.702,2346.0,3.752,0.2696
0.002,0.0155,-2.679,2362.0,3.755,0.2732
0.002,0.016,-2.657,2377.0,3.758,0.2767
0.002,0.0165,-2.635,2392.0,3.76,0.2801
0.002,0.017,-2.614,2406.0,3.763,0.2835
0.003,0.0005,-5.851,490.0,2.703,0.1647
0.003,0.001,-5.289,707.0,3.079,0.1512
0.003,0.0015,-4.937,864.0,3.252,0.1516
0.003,0.002,-4.678,995.0,3.364,0.1539
0.003,0.0025,-4.464,1116.0,3.445,0.1568
0.003,0.003,-4.29,1220.0,3.506,0.16
0.003,0.0035,-4.142,1315.0,3.554,0.1635
0.003,0.004,-4.011,1402.0,3.593,0.1673
0.003,0.0045,-3.897,1480.0,3.624,0.1711
0.003,0.005,-3.797,1551.0,3.651,0.175
0.003,0.006,-3.629,1674.0,3.694,0.1823
0.003,0.007,-3.492,1778.0,3.729,0.1891
0.003,0.008,-3.37,1875.0,3.758,0.1956
0.003,0.009,-3.262,1962.0,3.78,0.2022
0.003,0.01,-3.169,2038.0,3.798,0.2088
0.003,0.011,-3.086,2103.0,3.812,0.2155
0.003,0.0115,-3.049,2132.0,3.818,0.2188
0.003,0.012,-3.015,2159.0,3.823,0.2221
0.003,0.0125,-2.982,2184.0,3.828,0.2255
0.003,0.013,-2.951,2207.0,3.833,0.2288
0.003,0.0135,-2.921,2229.0,3.837,0.232
0.003,0.014,-2.893,2250.0,3.84,0.2353
0.003,0.0145,-2.865,2270.0,3.844,0.2386
0.003,0.015,-2.838,2289.0,3.846,0.2419
0.003,0.0155,-2.814,2307.0,3.85,0.2449
0.003,0.016,-2.789,2325.0,3.852,0.2483
0.003,0.0165,-2.764,2343.0,3.853,0.2518
0.003,0.017,-2.739,2359.0,3.854,0.2553
0.003,0.0175,-2.715,2376.0,3.854,0.2589
0.003,0.018,-2.691,2392.0,3.854,0.2627
0.003,0.0185,-2.667,2408.0,3.853,0.2667
0.004,0.0005,-5.988,459.0,2.729,0.1599
0.004,0.001,-5.433,658.0,3.1,0.1476
0.004,0.0015,-5.092,800.0,3.274,0.1478
0.004,0.002,-4.838,921.0,3.389,0.1496
0.004,0.0025,-4.626,1033.0,3.473,0.1518
0.004,0.003,-4.446,1136.0,3.538,0.1544
0.004,0.0035,-4.295,1228.0,3.589,0.1572
0.004,0.004,-4.163,1312.0,3.63,0.1603
0.004,0.0045,-4.045,1391.0,3.664,0.1634
0.004,0.005,-3.941,1463.0,3.693,0.1666
0.004,0.006,-3.766,1589.0,3.741,0.1727
