age(Gyr),M/MSun,logL/Lsun,Teff(K),logg,R/Rsun
0.001,0.0005,-5.579,580.0,2.723,0.161
0.001,0.001,-4.805,921.0,3.056,0.1552
0.001,0.0015,-4.451,1123.0,3.222,0.157
0.001,0.002,-4.178,1301.0,3.329,0.1602
0.001,0.0025,-3.963,1455.0,3.405,0.1641
0.001,0.003,-3.782,1595.0,3.462,0.1684
0.001,0.0035,-3.631,1716.0,3.505,0.173
0.001,0.004,-3.504,1821.0,3.539,0.1779
0.001,0.0045,-3.394,1914.0,3.567,0.1827
0.001,0.005,-3.294,2000.0,3.59,0.1875
0.001,0.006,-3.128,2147.0,3.626,0.1971
0.001,0.007,-2.995,2264.0,3.653,0.2065
0.001,0.008,-2.887,2359.0,3.673,0.2156
0.001,0.009,-2.795,2438.0,3.69,0.2242
0.002,0.0005,-5.887,495.0,2.759,0.1545
0.002,0.001,-5.128,787.0,3.105,0.1466
0.002,0.0015,-4.784,956.0,3.275,0.1476
0.002,0.002,-4.524,1104.0,3.39,0.1494
0.002,0.0025,-4.323,1230.0,3.474,0.1517
0.002,0.003,-4.153,1345.0,3.538,0.1543
0.002,0.0035,-4.006,1451.0,3.59,0.157
0.002,0.004,-3.871,1554.0,3.632,0.1599
0.002,0.0045,-3.754,1647.0,3.667,0.1629
0.002,0.005,-3.649,1734.0,3.697,0.166
0.002,0.006,-3.469,1888.0,3.745,0.172
0.002,0.007,-3.316,2027.0,3.781,0.1781
0.002,0.008,-3.188,2145.0,3.81,0.1842
0.002,0.009,-3.079,2247.0,3.833,0.1903
0.002,0.01,-2.988,2332.0,3.852,0.1963
0.002,0.011,-2.908,2406.0,3.867,0.2022
0.003,0.0005,-5.99,473.0,2.78,0.1507
0.003,0.001,-5.328,712.0,3.131,0.1424
0.003,0.0015,-4.982,867.0,3.302,0.1431
0.003,0.002,-4.729,998.0,3.419,0.1445
0.003,0.0025,-4.529,1113.0,3.506,0.1461
0.003,0.003,-4.365,1215.0,3.573,0.1481
0.003,0.0035,-4.22,1312.0,3.628,0.1503
0.003,0.004,-4.092,1402.0,3.673,0.1525
0.003,0.0045,-3.974,1489.0,3.711,0.1548
0.003,0.005,-3.867,1572.0,3.745,0.157
0.003,0.006,-3.682,1724.0,3.799,0.1615
0.003,0.007,-3.524,1862.0,3.843,0.166
0.003,0.008,-3.388,1988.0,3.877,0.1705
0.003,0.009,-3.27,2099.0,3.905,0.1751
0.003,0.01,-3.167,2198.0,3.928,0.1797
0.003,0.011,-3.079,2284.0,3.947,0.1844
0.003,0.0115,-3.039,2322.0,3.956,0.1868
0.003,0.012,-3.001,2358.0,3.963,0.1892
0.003,0.0125,-2.964,2393.0,3.97,0.1916
0.003,0.013,-2.929,2426.0,3.976,0.1941
0.004,0.0005,-6.071,456.0,2.798,0.1477
0.004,0.001,-5.476,660.0,3.147,0.1396
0.004,0.0015,-5.135,802.0,3.32,0.1402
0.004,0.002,-4.884,923.0,3.438,0.1413
0.004,0.0025,-4.683,1031.0,3.527,0.1427
0.004,0.003,-4.518,1127.0,3.596,0.1443
0.004,0.0035,-4.377,1215.0,3.652,0.1461
0.004,0.004,-4.248,1300.0,3.699,0.148
0.004,0.0045,-4.134,1380.0,3.74,0.1498
0.004,0.005,-4.029,1457.0,3.775,0.1516
0.004,0.006,-3.842,1604.0,3.834,0.1552
0.004,0.007,-3.682,1740.0,3.882,0.1586
0.004,0.008,-3.542,1865.0,3.921,0.1622
0.004,0.009,-3.418,1981.0,3.953,0.1658
0.004,0.01,-3.31,2085.0,3.979,0.1695
0.004,0.011,-3.213,2180.0,4.001,0.1733
0.004,0.0115,-3.168,2224.0,4.01,0.1754
0.004,0.012,-3.126,2265.0,4.018,0.1775
0.004,0.0125,-3.085,2304.0,4.025,0.1797
0.004,0.013,-3.044,2343.0,4.03,0.1822
0.004,0.0135,-3.004,2381.0,4.034,0.1849
0.004,0.014,-2.962,2419.0,4.036,0.1879
0.006,0.0005,-6.204,429.0,2.824,0.1433
0.006,0.001,-5.683,593.0,3.169,0.1363
0.006,0.0015,-5.346,719.0,3.343,0.1366
0.006,0.002,-5.117,818.0,3.461,0.1376
0.006,0.0025,-4.905,921.0,3.552,0.1385
0.006,0.003,-4.733,1012.0,3.623,0.1398
0.006,0.0035,-4.591,1093.0,3.682,0.1412
0.006,0.004,-4.466,1168.0,3.731,0.1427
0.006,0.0045,-4.353,1241.0,3.774,0.144
0.006,0.005,-4.248,1312.0,3.812,0.1454
0.006,0.006,-4.066,1445.0,3.876,0.1479
0.006,0.007,-3.905,1572.0,3.928,0.1504
0.006,0.008,-3.762,1693.0,3.973,0.1528
0.006,0.009,-3.633,1809.0,4.01,0.1552
0.006,0.01,-3.518,1917.0,4.042,0.1578
0.006,0.011,-3.412,2019.0,4.067,0.1606
0.006,0.0115,-3.362,2068.0,4.078,0.1623
0.006,0.012,-3.31,2118.0,4.086,0.1642
0.006,0.0125,-3.257,2170.0,4.092,0.1664
0.006,0.013,-3.201,2223.0,4.095,0.1691
0.006,0.0135,-3.142,2276.0,4.095,0.1724
0.006,0.014,-3.081,2332.0,4.09,0.1765
0.006,0.0145,-3.017,2387.0,4.083,0.1812
0.006,0.015,-2.953,2442.0,4.073,0.1864
0.008,0.0005,-6.311,408.0,2.844,0.14
0.008,0.001,-5.832,549.0,3.183,0.1341
0.008,0.0015,-5.498,664.0,3.357,0.1344
0.008,0.002,-5.267,756.0,3.476,0.1353
