Name             Mj      Mj_err1 Mj_err2 Rj      Rj_err1 Rj_err2  P        e      e_err    Ms   Ms_err1 Ms_err2   Rs     Rs_err1 Rs_err2  Teff     T_err  FeH   FeH_err 
TOI-4603b        12.90   0.58   0.57   1.04     0.04    0.04    7.246    0.325   0.02    1.77   0.06    0.06    2.74    0.05    0.05    6264.0   95.0   0.34   0.04   
HATS-70b         12.90   1.80   1.60   1.384    0.079   0.074   1.888    0.18    0.0     1.78   0.12    0.12    1.881   0.059   0.066   7930.0   820.0  0.041  0.107  
TOI-1278b        18.5    0.5    0.5    1.09     0.24    0.20    14.47567 0.013   0.004   0.54   0.02    0.02    0.57    0.01    0.01    3799.0     42     0.00   0.09   
Kepler-39b       19.0    1.30   1.30   1.067    0.028   0.026   21.08701 0.066   0.036   1.201  0.071   0.087   1.260   0.030   0.029   6290.0   120.0  0.07   0.14   
GPX-1b           19.7    1.60   1.60   1.47     0.10    0.10    1.744579 0.0     0.0     1.68   0.10    0.10    1.56    0.10    0.10    7000.0   200.0  0.35   0.1    
TOI-1994b        22.1    2.60   2.50   1.220    0.082   0.071   4.033714 0.341   0.059   1.86   0.18    0.17    2.30    0.13    0.12    7700.0   720.0  -0.01  0.42   
CoRoT-3b         22.32   0.84   1.00   1.080    0.051   0.046   4.25636  0.0120  0.018   1.437  0.081   0.086   1.661   0.076   0.065   6710.0   140.0  -0.037 0.084  
TOI-5882b	 24.36	 0.85	1.7    0.833	0.06	0.059	7.148942 0.0347	0.0082	 1.545	0.077	0.17	2.303	0.066	0.064	   6000	    190.0	0.378  0.084  
KELT-1b          27.93   0.94   0.99   1.129    0.031   0.027   1.217523 0.0096  0.0067  1.390  0.065   0.069   1.486   0.035   0.032   6520.0   47.0   0.071  0.078  
NLTT41135b       33.70   2.80   2.60   1.13     0.27    0.17    2.889    0.02    0.0     0.188  0.026   0.022   0.21    0.016   0.014   3230.0   130.0  -0.25  0.25   
WASP-128b        39.26   0.88   1.00   0.957    0.017   0.016   2.208825 0.0041  0.0029  1.213  0.041   0.046   1.179   0.017   0.018   6081.0   78.0   0.117  0.093  
CWW89Ab          39.21   0.91   1.10   0.941    0.019   0.019   5.2926   0.1891  0.0022  1.101  0.039   0.045   1.029   0.016   0.016   5755.0   49.0   0.203  0.091  
